SampleID,Visit,Category,WaterPotential_MPa,Tin_wt,other tin wt?,Wet_wt,Dry_wt,% Moisture,Total N,Total C,C/N Ratio,OM- crucible wt,OM- before,OM- after,"OM, % LOI",pH,EC original read,EC dilution,EC,NH4,NO3,P
59,B,Treated,-0.42,1.0494,,5.9486,5.459,11.1,0.132,1.598,12.0767,21.1105,24.197,24.148,1.6,7.65,1.673,,1.673,0.934,1.0733,10.26
63,B,Untreated,-0.27,1.064,,7.1208,4.8071,61.8,0.244,4.374,17.9278,21.875,24.9691,24.8074,5.2,7.652,2.901,,2.901,4.2117,0.1506,35.68
64,B,Native,-0.3,1.0622,,7.1569,2.6965,272.9,0.876,13.944,15.9184,20.7033,23.7592,23.1046,21.4,7.783,7.976,,7.976,7.5365,0.0894,38.69
65,B,Treated,-0.48,1.0579,,6.1372,3.0375,156.6,0.568,8.651,15.2179,27.4544,30.4395,30.0885,11.8,7.666,2.632,,2.632,7.025,0.0983,72.3
66,B,Native,,,,,,NA,,,,,,,,,,,,,,
67,B,Untreated,-0.82,1.0537,,5.9522,3.699,85.2,0.201,4.348,21.6021,21.2413,24.284,24.1765,3.5,8.374,5.33,,5.33,1.2508,0.0774,42.23
68,B,Native,-0.64,1.0268,,6.8987,5.5184,30.7,0.397,7.179,18.0726,18.1976,21.252,21.0362,7.1,8.019,3.552,,3.552,1.954,0.0989,52.05
69,B,Native,-0.46,1.0385,,7.1581,3.8352,118.8,0.461,7.424,16.1126,22.0913,25.1097,24.8684,8,7.915,2.454,,2.454,3.2533,0.1221,54.67
70,B,Treated,-0.49,1.0431,,5.7655,4.5229,35.7,0.274,4.458,16.2787,21.0132,24.0954,23.6547,14.3,7.766,1.178,,1.178,2.718,5.1637,54.96
71,B,Native,-0.18,1.0462,,8.4304,5.0762,83.2,0.359,6.184,17.2128,21.2544,24.3035,24.1119,6.3,7.665,1.834,,1.834,6.9474,0.1599,50.51
72,B,Treated,-0.82,1.0495,,4.019,3.4377,24.3,0.159,3.581,22.5222,20.0632,23.0643,22.9611,3.4,7.699,4.42,,4.42,1.8643,0.1264,22.25
73,B,Native,-0.91,1.0491,,3.6997,2.2767,115.9,1.011,16.658,16.4741,19.0618,22.0699,21.5664,16.7,7.222,12.05,,12.05,6.3971,4.4786,116.6
74,B,Treated,-0.79,1.2722,,3.599,2.6727,66.1,0.877,13.918,15.8723,20.0334,23.0301,22.5861,14.8,7.538,1.087,,1.087,8.1607,3.773,134.23
75,B,Untreated,-0.17,1.2841,,7.8513,5.0557,74.1,0.291,5.152,17.717,18.227,21.2278,21.064,5.5,7.64,0.8733,,0.8733,4.5626,0.0659,39.13
76,B,Treated,-1.09,1.2847,,3.6761,3.4101,12.5,0.099,3.801,38.4449,22.1228,25.1312,25.0652,2.2,7.74,1.186,,1.186,1.1317,0.233,10.59
77,B,Treated,-0.85,1.2833,,5.2178,4.9236,8.1,0.062,2.806,45.6076,21.6423,24.6472,24.6141,1.1,8.495,0.2405,,0.2405,0.7821,1.7109,17.05
78,B,Native,-0.58,1.292,,5.991,2.3264,354.3,0.753,16.659,22.1372,20.8844,23.8827,23.5474,11.2,7.567,6.512,,6.512,2.1528,0.0992,30.31
79,B,Native,-0.44,1.2823,,8.723,6.7228,36.8,0.056,4.76,85.5514,20.7038,23.7069,23.685,0.7,8.046,1.047,,1.047,1.0976,0.0788,9.94
80,B,Treated,-0.83,1.272,,6.8764,4.7858,59.5,0.273,7.544,27.6357,21.6423,24.6554,24.5338,4,7.613,4.596,,4.596,2.6859,2.6594,44.28
1,C,Native,-0.01,0.9716,,6.4373,2.7366,209.7,1.284,20.298,15.8132,20.0635,23.0652,22.3264,24.6,7.906,0.6565,1:10,3.283,8.1906,14.3363,38.36
2,C,Untreated,-0.39,0.9716,,5.2984,4.1188,37.5,0.385,10.358,26.8888,18.228,21.2569,21.0465,6.9,7.733,1.249,,1.249,5.0058,3.4372,24.75
3,C,Native,-0.75,0.9702,,8.9438,5.8185,64.5,0.204,3.052,14.9979,19.0619,22.1379,22.0235,3.7,8.045,6.998,,6.998,5.3308,0.2698,5.88
4,C,Untreated,-0.4,0.9703,,7.1588,4.204,91.4,1.144,18.822,16.4527,20.8844,23.9167,23.1269,26,6.893,5.189,,5.189,8.239,8.4018,22.74
5,C,Native,-0.58,0.9748,,3.6217,2.3413,93.7,1.451,24.135,16.6324,21.1601,24.183,23.3562,27.4,7.476,1.717,1:10,8.585,4.225,33.0616,28.55
6,C,Native,-0.31,0.966,,3.4142,1.4601,395.5,1.956,30.027,15.3547,22.1224,25.1932,23.7967,45.5,7.493,2.004,1:10,10.02,7.4074,27.3305,31.75
7,C,Untreated,-0.28,0.9674,,8.9643,6.4319,46.3,0.246,7.159,29.088,20.0337,23.1079,22.9266,5.9,8.296,2.994,,2.994,2.7963,0.1441,13.55
8,C,Native,-0.1,0.9701,,8.149,5.3758,62.9,0.389,7.1,18.2517,18.1976,21.4134,21.2063,6.4,7.639,0.9339,,0.9339,4.696,0.1471,22.25
9,C,Treated,-0.02,0.9923,,5.1504,2.1172,269.6,1.579,22.191,14.0576,22.0903,23.8153,23.2929,30.3,7.145,2.245,,2.245,13.1193,10.1555,57.73
10,C,Native,-0.37,0.9738,,4.9388,1.891,332.3,2.026,27.68,13.6619,21.0128,23.0756,22.4037,32.6,7.44,0.8813,1:10,4.407,13.0411,3.3124,52.19
11,C,Treated,-0.29,0.9736,,3.9297,1.809,253.9,2.032,28.592,14.0709,27.4535,30.3526,29.0497,44.9,7.303,1.008,1:10,5.04,9.0572,2.5281,56.95
12,C,Native,-0.28,0.9762,,6.0493,2.0317,380.6,1.555,24.656,15.8558,21.2541,23.506,22.6093,39.8,7.48,1.108,1:10,5.54,8.2639,0.1809,73.55
13,C,Native,-0.27,0.9771,,6.285,2.041,398.9,1.701,27.517,16.1735,21.2406,24.174,22.9161,42.9,7.455,0.945,1:10,4.725,7.9336,0.1616,65.15
14,C,Treated,-0.35,0.9517,,4.6734,1.9625,268.2,1.691,25.9,15.3198,21.8745,24.6866,23.5968,38.8,7.399,1.356,1:10,6.78,5.9676,4.5303,68.32
15,C,Treated,-0.06,0.9955,,6.5383,2.1857,365.7,1.618,22.695,14.0256,20.702,23.6977,22.9634,24.5,7.37,0.7396,1:10,3.698,8.5357,0.2738,45.39
16,C,Untreated,-0.47,0.9876,,4.1055,2.7768,74.3,2.033,26.671,13.1219,26.8046,29.8139,28.669,38,7.598,0.5635,1:10,2.8175,8.6229,21.72,40.95
17,C,Treated,-0.31,0.9877,,5.282,4.2465,31.8,0.233,4.384,18.834,21.515,24.53,24.3907,4.6,7.552,0.7546,,0.7546,8.0161,1.5069,30.69
18,C,Native,0.29,1.0002,,8.717,2.7592,338.7,1.198,18.185,15.181,19.8907,22.8693,21.8643,33.7,6.694,0.939,1:10,4.695,7.1256,0.3646,83.01
19,C,Treated,-0.15,0.9886,,9.1167,5.8378,67.6,0.135,3.286,24.2954,19.2252,22.2367,22.1985,1.3,8.272,2.58,,2.58,2.2957,0.1142,24.15
20,C,Native,-0.44,1.0231,,5.7162,1.9695,395.9,0.858,12.289,14.3298,21.5006,24.493,24.0962,13.3,7.543,14.51,,14.51,6.3936,0.1481,135.56
21,C,Native,-0.21,1.0273,,11.1459,2.9291,432.1,1.115,15.756,14.1322,20.4843,23.4719,22.8211,21.8,7.953,3.324,1:10,16.62,8.1387,0.1555,85.07
22,C,Treated,-0.78,1.019,,5.6715,2.6959,177.4,0.505,7.04,13.9296,18.8825,21.876,21.6735,6.8,7.874,10.16,,10.16,4.8592,0.1548,81.76
23,C,Treated,-2.36,1.0187,,5.2359,3.1555,97.4,0.748,12.171,16.2724,21.1083,24.1042,23.8691,7.8,7.416,16.1,,16.1,10.7847,1.9141,75.93
24,C,Untreated,-1.14,1.0192,,6.1107,4.3867,51.2,0.357,6.487,18.174,21.6425,24.8455,24.6598,5.8,7.835,4.892,,4.892,4.8226,6.8189,80.31
25,C,Treated,-4.93,1.0165,,3.893,2.9424,49.4,0.729,10.416,14.2803,22.1222,25.2407,24.9617,8.9,7.793,16.74,,16.74,2.5241,3.5237,102.94
26,C,Untreated,-0.42,1.0037,,6.5797,3.6929,107.3,0.672,10.609,15.7986,18.2277,21.3235,21.0381,9.2,7.808,3.378,,3.378,6.0461,0.3254,107.11
27,C,Untreated,-1.34,0.9804,,4.5093,3.5398,37.9,0.245,7.429,30.3646,20.8841,23.8308,23.7185,3.8,7.836,3.969,,3.969,4.7779,2.1341,42.35
28,C,Native,-0.97,0.9864,,5.4875,4.0649,46.2,0.263,7.178,27.2819,20.0629,23.0628,22.9606,3.4,7.696,4.535,,4.535,4.7198,4.4954,43.79
29,C,Untreated,-0.92,0.986,,3.7489,2.9625,39.8,0.349,8.267,23.7015,19.0612,21.9909,21.8222,5.8,7.87,2.707,,2.707,4.6078,2.928,44.16
30,C,Native,-0.36,0.989,,5.2119,3.8793,46.1,0.351,8.433,24.0055,20.0334,23.2122,23.0371,5.5,7.61,1.738,,1.738,7.2042,5.219,52.76
31,C,Treated,-2.5,0.9691,,8.0366,5.9925,40.7,0.168,5.214,31.0822,21.1596,24.0779,23.9962,2.8,8.152,7.769,,7.769,3.2937,0.7939,52.19
32,C,Native,-0.6,0.971,,6.9914,4.0781,93.8,0.342,7.33,21.4115,22.0909,25.0294,24.8965,4.5,7.952,6.597,,6.597,4.1718,0.1677,35.37
33,C,Treated,-1.32,0.9777,,4.4816,3.6157,32.8,0.25,6.865,27.4427,21.8755,24.9384,24.8266,3.7,8.353,2.562,,2.562,3.9059,1.7841,36.1
34,C,Native,-0.52,0.971,,8.1019,5.0002,77,0.493,9.28,18.82,27.4548,30.688,30.4108,8.6,7.547,4.684,,4.684,9.1986,0.1814,44.4
35,C,Treated,-1.21,1.0118,,7.0409,5.0088,50.8,0.153,5.665,37.0261,20.7035,23.5506,23.4961,1.9,8.245,3.356,,3.356,2.4652,0.0929,35.16
36,C,Untreated,-0.86,1.0016,,7.6878,4.9663,68.6,0.183,5.497,30.0133,21.242,24.2018,24.1115,3.1,7.912,2.288,,2.288,5.2253,0.0819,55.72
